_RAJ2000;_DEJ2000;recno;HR;Name;HD;ADS;VarID;RAJ2000;DEJ2000;Vmag;B-V;SpType;NoteFlag
078.232917;-16.205556;    1702;1702;  5Mu  Lep; 33904;     ;Mu  Lep  ;05 12 55.9;-16 12 20; 3.31;-0.11;  B9IIIpHgMn        ;*
081.119167; -2.396944;    1788;1788; 28Eta Ori; 35411; 4002;Eta Ori  ;05 24 28.6;-02 23 49; 3.36;-0.17;  B1V+B2e           ;*
082.061250;-20.759444;    1829;1829;  9Bet Lep; 36079; 4066; 2008    ;05 28 14.7;-20 45 34; 2.84; 0.82;  G5II              ;*
083.182500;-17.822222;    1865;1865; 11Alp Lep; 36673; 4146; 2128    ;05 32 43.8;-17 49 20; 2.58; 0.21;  F0Ib              ;*
083.858333; -5.910000;    1899;1899; 44Iot Ori; 37043; 4193; 2334    ;05 35 26.0;-05 54 36; 2.77;-0.24;  O9III             ;*
084.411250;+21.142500;    1910;1910;123Zet Tau; 37202;     ;Zet Tau  ;05 37 38.7;+21 08 33; 3.00;-0.19;  B4IIIpe           ;*
084.912083;-34.074167;    1956;1956;   Alp Col; 37795;     ; 2549    ;05 39 38.9;-34 04 27; 2.64;-0.12;  B7IVe             ;*
087.740000;-35.768333;    2040;2040;   Bet Col; 39425;     ;         ;05 50 57.6;-35 46 06; 3.12; 1.16;  K2III             ;*
089.930417;+37.212500;    2095;2095; 37The Aur; 40312; 4566;The Aur  ;05 59 43.3;+37 12 45; 2.62;-0.08;  A0pSi             ;*
093.719167;+22.506667;    2216;2216;  7Eta Gem; 42995; 4841;Eta Gem  ;06 14 52.6;+22 30 24; 3.28; 1.60;  M3III             ;*
095.078333;-30.063333;    2282;2282;  1Zet CMa; 44402;     ; 2927    ;06 20 18.8;-30 03 48; 3.02;-0.19;  B2.5V             ;*
095.740000;+22.513611;    2286;2286; 13Mu  Gem; 44478; 4990;Mu  Gem  ;06 22 57.6;+22 30 49; 2.88; 1.64;  M3IIIab           ;*
